Name,Type-lat,Type-lon,west,east,south,north
Aral Sea,,,55,65,42,48
Baffin Bay,,,,,,
Baltic Sea,,,10,34,53,65
Barents Sea,,,,,,
Barents Sea North,,,,,,
Barents Sea South,,,,,,
Beaufort Sea,,,,,,
Bering Sea,,,165,210,50,70
Bering Sea East,,,,,,
Bering Sea West,,,,,,
Canadian Archipelago,,,-130,-55,65,85
Canadian Arctic East,,,,,,
Canadian Arctic West,,,,,,
Caspian Sea,,,45,55,35,48
Chesapeake Bay,,,,,,
Chukchi Sea,,,,,,
Cook Inlet,,,,,,
Davis Strait,,,,,,
Delaware Bay,,,,,,
East Greenland,,,,,,
East Siberian Sea,,,,,,
Foxe Basin,,,,,,
Grand Banks,,,,,,
Great Lakes,,,-90,-75,40,51
Greenland Central,,,,,,
Greenland North,,,,,,
Greenland South,,,,,,
Greenland Southwest,,,,,,
Gulf of Alaska,,,-155,-120,51,60.5
Gulf of Ob,,,65,80,65,75
Gulf of St. Lawrence,,,-72,-55,45,52
High Arctic,,,,,,
High Arctic East,,,,,,
High Arctic West 1,,,,,,
High Arctic West 2,,,,,,
Hudson Bay,,,-95,-75,50,65
Kamchatka Peninsula,,,,,,
Kara Sea,,,,,,
Kara Sea North,,,,,,
Kara Sea South,,,,,,
Labrador Sea,,,,,,
Laptev Sea,,,,,,
McMurdo Sound,,,150,180,-80,-70
Nordic Seas,,,-35,10,60,85
Other Laurentian Lakes,,,-125,-60,45,70
Sea of Azov,,,26,45,40,48
Sea of Japan,,,125,150,40,55
Sea of Japan South,,,,,,
Sea of Okhotsk,,,130,160,45,65
Sea of Okhotsk East,,,,,,
Sea of Okhotsk South,,,,,,
Sea of Okhotsk Southeast,,,,,,
Sea of Okhotsk West,,,,,,
Skagerrak,,,,,,
White Sea,,,30,45,59,70
Yellow Sea,,,116,126,36,42
